id,title,text,label
1,"Federal Reserve Holds Benchmark Interest Rate Steady Amid Inflation Moderation","WASHINGTON (Reuters) - The Federal Reserve kept its benchmark interest rate unchanged on Wednesday following a two-day monetary policy meeting. Policymakers noted that while inflation has eased notably over the past year, it remains somewhat elevated above the central bank's two percent target. Economic activity has continued to expand at a solid pace, supported by resilient consumer spending and a stable labor market. Fed officials indicated that future adjustments will depend on incoming economic data and ongoing risk assessments.",0
2,"NASA James Webb Space Telescope Reveals Ancient Galaxies Formed After Big Bang","CAPE CANAVERAL, Fla. (AP) — NASA's James Webb Space Telescope has captured deep-field observations revealing luminous galaxies dating back to within four hundred million years of the Big Bang. Astronomers analyzing the spectroscopic data noted that these primordial stellar structures formed earlier and brighter than previously predicted by standard cosmological models. The findings published in the Astrophysical Journal provide new insights into early cosmic reionization and early black hole growth.",0
3,"Global Climate Summit Concludes With Multilateral Renewable Energy Accord","DUBAI (Reuters) - Representatives from nearly two hundred nations concluded annual climate negotiations on Tuesday by endorsing a framework aimed at tripling global renewable energy capacity by 2030. The agreement emphasizes accelerating solar, wind, and energy storage deployments while transitioning away from unabated fossil fuel infrastructure. Participating delegations agreed to establish transparent monitoring mechanisms to track emissions reductions across industrialized and developing economies.",0
4,"European Central Bank Signals Measured Approach to Future Policy Adjustments","FRANKFURT (Reuters) - European Central Bank officials indicated on Friday that monetary policy will remain sufficiently restrictive for as long as necessary to ensure inflation returns to its medium-term objective. Speaking at a financial symposium in Frankfurt, governing council members emphasized a data-dependent, meeting-by-meeting approach, noting that wage pressures and geopolitical tensions continue to introduce uncertainty into Eurozone economic projections.",0
5,"World Health Organization Releases Comprehensive Guidelines on Childhood Nutrition","GENEVA (AFP) — The World Health Organization on Monday published revised global recommendations to tackle both undernutrition and childhood obesity. The report underscores the importance of balanced dietary intake, nutrient-dense foods, and reduced consumption of ultra-processed sugars and saturated fats. Public health agencies worldwide were encouraged to incorporate the evidence-based standards into school meal programs and national health policies.",0
6,"Major Automakers Announce Joint Investment in High-Speed Electric Vehicle Charging Network","DETROIT (AP) — Seven major automotive manufacturers announced a collaborative venture on Thursday to install at least thirty thousand high-powered fast-charging stations across North American highway corridors. The initiative aims to enhance charging accessibility, standardize payment systems, and accelerate consumer adoption of zero-emission vehicles over the coming decade.",0
7,"Breakthrough in Solid-State Battery Research Shows Enhanced Thermal Stability","CAMBRIDGE, Mass. (Reuters) - Materials scientists at MIT have engineered a novel ceramic electrolyte for solid-state lithium-metal batteries that exhibits remarkable stability under high temperature and rapid discharge cycles. Detailed in Nature Materials, the prototype retained over ninety percent of its initial charge capacity after one thousand cycles, offering potential applications for longer-range electric transport and consumer electronics.",0
8,"United Nations Security Council Adopts Humanitarian Aid Resolution","NEW YORK (AP) — The United Nations Security Council unanimously adopted a resolution on Wednesday calling for urgent, safe, and unhindered delivery of humanitarian assistance to civilian populations in conflict zones. The measure establishes dedicated logistics corridors and strengthens coordination between international relief agencies and local relief workers.",0
9,"Tech Consortium Launches Open-Source Initiative for Digital Accessibility Standards","SAN FRANCISCO (Reuters) - A coalition of leading software and hardware developers on Monday introduced an open-source development kit designed to improve screen reader integration and assistive navigation for web platforms. The toolkit complies with international accessibility guidelines, enabling developers to integrate speech interfaces and adaptive contrast controls across web applications.",0
10,"Agricultural Yields Rebound Following Improved Seasonal Rainfall Across Midwest","CHICAGO (Reuters) - Corn and soybean production estimates across the American Midwest were revised upward on Friday following widespread, favorable precipitation during critical pollination phases. Agricultural economists noted that the improved soil moisture conditions have alleviated earlier drought concerns, stabilizing commodity futures prices heading into autumn harvest.",0
